City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Nanortalik,GL,60.1432,-45.2371,35.94,64,0,8.79,clear sky
242,Ponta Delgada,PT,37.7333,-25.6667,66.92,94,75,8.05,broken clouds
243,Pangnirtung,CA,66.1451,-65.7125,30.2,86,75,8.05,broken clouds
244,Malindi,KE,-3.2175,40.1191,78.28,79,2,13.69,clear sky
245,Lompoc,US,34.6391,-120.4579,80.69,48,1,11.5,clear sky
246,Makat,KZ,47.6469,53.3463,36.64,59,4,7.29,clear sky
247,Chitral,PK,35.8462,71.7858,52.86,47,20,3.24,few clouds
248,Yarmolyntsi,UA,49.1924,26.8373,43.57,84,93,4.99,overcast clouds
249,Antalaha,MG,-14.9003,50.2788,70.74,91,11,4.56,few clouds
250,Beyneu,KZ,45.3167,55.2,37.92,50,0,0.29,clear sky
251,Iisalmi,FI,63.5592,27.1907,41.02,97,100,2.73,light rain
252,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.6,89,75,4.61,heavy intensity rain
253,Laguna,US,38.421,-121.4238,72.14,70,1,1.99,clear sky
254,Sakakah,SA,29.9697,40.2064,76.57,28,12,5.59,few clouds
255,College,US,64.8569,-147.8028,26.58,92,75,0.0,light snow
256,Tommot,RU,58.9564,126.2925,27.28,84,100,3.89,overcast clouds
257,Imeni Poliny Osipenko,RU,52.4201,136.4853,31.42,93,21,4.27,few clouds
258,Juegang,CN,32.3174,121.1855,58.98,61,81,6.73,light rain
259,Tukrah,LY,32.5341,20.5791,71.73,74,12,6.22,few clouds
260,Cedar City,US,37.6775,-113.0619,53.4,43,1,8.05,clear sky
261,Korla,CN,41.7597,86.1469,48.22,43,15,2.39,few clouds
262,Kavieng,PG,-2.5744,150.7967,81.19,80,13,10.94,moderate rain
263,Naze,JP,28.3667,129.4833,66.61,63,0,12.44,clear sky
264,Flinders,AU,-34.5833,150.8552,59.81,90,99,1.99,overcast clouds
265,Tazovskiy,RU,67.4667,78.7,1.71,96,31,4.92,scattered clouds
266,Bengkulu,ID,-3.8004,102.2655,76.3,86,100,3.15,overcast clouds
267,Show Low,US,34.2542,-110.0298,53.71,33,1,11.5,clear sky
268,Urumqi,CN,43.801,87.6005,41.95,49,0,2.24,clear sky
269,Xichang,CN,27.8964,102.2634,55.8,86,84,2.44,broken clouds
270,Hervey Bay,AU,-25.2986,152.8535,74.03,81,84,10.56,broken clouds
271,Yankton,US,42.8711,-97.3973,52.05,93,90,14.97,moderate rain
272,Erzin,TR,36.9559,36.2,68.72,38,90,1.66,overcast clouds
273,Patti,IN,31.2808,74.8572,67.95,44,0,3.6,clear sky
274,Kizilskoye,RU,52.7255,58.8937,34.63,60,68,14.27,broken clouds
275,Mbaiki,CF,3.8678,17.9892,72.28,91,22,1.3,few clouds
276,Riyadh,SA,24.6877,46.7219,78.94,22,90,9.48,overcast clouds
277,Arona,ES,28.0996,-16.681,67.39,65,40,13.8,scattered clouds
278,Bischofswerda,DE,51.1277,14.1797,52.03,90,78,5.06,broken clouds
279,Jingdezhen,CN,29.2947,117.2079,61.66,83,100,2.48,light rain
280,Saint-Joseph,RE,-21.3667,55.6167,70.18,78,19,7.31,few clouds
281,Berlevag,NO,70.8578,29.0864,28.4,80,20,10.36,few clouds
282,Opuwo,NA,-18.0607,13.84,72.3,28,41,11.5,scattered clouds
283,Usinsk,RU,65.9939,57.5281,20.43,95,100,13.8,light snow
284,Abu Samrah,SY,35.3029,37.1841,68.68,32,100,1.81,overcast clouds
285,Vanavara,RU,60.34,102.2797,23.95,58,100,16.2,overcast clouds
286,Tura,IN,25.5198,90.2201,67.05,94,0,4.03,clear sky
287,Hambantota,LK,6.1241,81.1185,78.46,80,100,8.14,overcast clouds
288,Aneho,TG,6.2333,1.6,81.1,76,71,8.25,broken clouds
289,Kutum,SD,14.2,24.6667,77.88,19,5,9.57,clear sky
290,Paita,PE,-5.0892,-81.1144,72.16,73,88,19.98,overcast clouds
291,Loubomo,CG,-4.1997,12.6739,71.4,96,100,7.45,heavy intensity rain
