City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Butaritari,KI,2021-10-25 21:57:13,3.0707,172.7902,81.52,75,7,7.45
224,Clyde River,CA,2021-10-25 21:57:13,70.4692,-68.5914,25.03,68,90,0.0
225,Swadlincote,GB,2021-10-25 21:57:13,52.774,-1.5574,49.53,87,0,11.5
226,Kruisfontein,ZA,2021-10-25 21:57:14,-34.0033,24.7314,61.88,93,3,4.52
227,Tonantins,BR,2021-10-25 21:57:14,-2.8731,-67.8022,77.9,83,100,3.15
228,Diffa,NE,2021-10-25 21:57:14,13.3154,12.6113,87.03,21,21,8.63
229,Port-Gentil,GA,2021-10-25 21:57:14,-0.7193,8.7815,76.96,94,75,3.44
230,Baherden,TM,2021-10-25 21:57:15,38.4362,57.4316,59.11,46,10,5.66
231,Troitsko-Pechorsk,RU,2021-10-25 21:57:15,62.7084,56.1964,21.69,98,70,3.91
232,Vila Velha,BR,2021-10-25 21:56:16,-20.3297,-40.2925,75.15,78,40,10.36
233,Betong,TH,2021-10-25 21:57:15,5.7743,101.0723,70.57,98,69,1.9
234,Sistranda,NO,2021-10-25 21:57:16,63.7256,8.834,49.89,84,100,8.46
235,Kahului,US,2021-10-25 21:57:16,20.8947,-156.47,82.98,73,3,11.99
236,Nagato,JP,2021-10-25 21:57:16,34.3833,131.2,57.11,79,57,8.66
237,Alibag,IN,2021-10-25 21:57:17,18.6411,72.8792,78.87,75,2,7.58
238,Riyadh,SA,2021-10-25 21:57:17,24.6877,46.7219,77.14,40,0,8.01
239,Magdagachi,RU,2021-10-25 21:57:17,53.45,125.8,31.82,94,100,3.31
240,Usinsk,RU,2021-10-25 21:57:18,65.9939,57.5281,7.66,90,21,8.32
241,Plastun,RU,2021-10-25 21:57:18,44.7561,136.2939,42.53,65,0,4.18
242,Asau,RO,2021-10-25 21:57:18,46.4333,26.4,34.75,69,0,2.44
243,Oranjemund,NA,2021-10-25 21:57:19,-28.55,16.4333,58.8,87,94,7.29
244,Menongue,AO,2021-10-25 21:57:19,-14.6585,17.691,70.79,57,96,5.26
