City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Tuni,IN,75.74,clear sky,17.35,82.55,Sai Krishna Lodge
190,Anito,PH,78.64,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
192,Luanda,AO,77.0,light rain,-8.8368,13.2343,Hotel Fórum
194,Port Lavaca,US,82.31,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
198,Dhidhdhoo,MV,81.7,overcast clouds,6.8833,73.1,Dhidhoo beach
201,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
205,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
207,Victoria,HK,77.38,light rain,22.2855,114.1577,Mini Hotel Central
209,Guarapari,BR,80.49,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
212,Maicao,CO,88.52,scattered clouds,11.3832,-72.2432,Hotel Sancho
213,Srivardhan,IN,75.87,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
214,Saint-Georges,GD,82.08,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
219,Pyapon,MM,76.3,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
223,Oriximina,BR,86.77,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
236,Manggar,ID,80.85,light rain,-2.8833,108.2667,Guest Hotel
238,Kerema,PG,77.76,light rain,-7.9631,145.7785,Frena Lodge
244,Malindi,KE,78.28,clear sky,-3.2175,40.1191,African House Resort
245,Lompoc,US,80.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
252,Sao Gabriel Da Cachoeira,BR,78.6,heavy intensity rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
254,Sakakah,SA,76.57,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
262,Kavieng,PG,81.19,moderate rain,-2.5744,150.7967,Nusa Island Retreat
266,Bengkulu,ID,76.3,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
276,Riyadh,SA,78.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
287,Hambantota,LK,78.46,overcast clouds,6.1241,81.1185,Bungalow 63
288,Aneho,TG,81.1,broken clouds,6.2333,1.6,Hotel La Linette
289,Kutum,SD,77.88,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
294,Mapastepec,MX,87.85,few clouds,15.4333,-92.9,Hotel San Carlos
295,Majene,ID,77.88,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
300,Sibolga,ID,76.05,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
306,George Town,MY,81.9,scattered clouds,5.4112,100.3354,Cititel Penang
311,Sur,OM,79.43,few clouds,22.5667,59.5289,Sur Plaza Hotel
318,Mecca,SA,82.24,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
320,Chuy,UY,79.97,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
327,Port Hueneme,US,86.2,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
332,Davila,PH,79.29,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
338,Kupang,ID,79.74,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
340,Namatanai,PG,79.77,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
341,Grand-Lahou,CI,77.95,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
342,Redlands,US,82.18,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
343,Abnub,EG,80.13,clear sky,27.2696,31.1511,Romany Adly Gad
344,Vanimo,PG,78.64,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
345,Rocha,UY,82.65,clear sky,-34.4833,-54.3333,Beleza Pura B&B
354,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
359,Carutapera,BR,84.4,broken clouds,-1.195,-46.02,Lidera
360,Sola,VU,80.67,light rain,-13.8833,167.55,Leumerus Bungalows
361,Axim,GH,78.94,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
364,Guaruja,BR,80.2,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
369,Caravelas,BR,79.48,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
379,Bonthe,SL,80.74,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
380,Iranshahr,IR,79.14,few clouds,27.2025,60.6848,نیک سرشت
382,Kirakira,SB,80.06,overcast clouds,-10.4544,161.9205,SanBiz Lodge
384,Altar,MX,75.6,clear sky,30.7,-111.8167,Hotel Maria Elena
387,Dubai,AE,84.13,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
388,Bajil,YE,86.2,few clouds,15.0584,43.2851,فندق حضرموت
389,Madang,PG,76.06,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
391,Biak,ID,76.42,clear sky,-0.9131,122.8766,Penginapan Kim
